"","enzyme","nps","CT"
"1","extaq","Fe2O3",14.183
"2","extaq","Fe3O4",14.79
"3","extaq","Al2O3",13.531
"4","extaq","CuO",15.021
"5","extaq","CK",14.762
"6","extaq","Fe2O3",14.659
"7","extaq","Fe3O4",14.859
"8","extaq","Al2O3",13.06
"9","extaq","CuO",16.062
"10","extaq","CK",14.726
"11","extaq","Fe2O3",15.774
"12","extaq","Fe3O4",14.993
"13","extaq","Al2O3",13.209
"14","extaq","CuO",15.759
"15","extaq","CK",14.079
"16","extaq","Fe2O3",15.506
"17","extaq","Fe3O4",14.975
"18","extaq","Al2O3",14.428
"19","extaq","CuO",16.039
"20","extaq","CK",16.072
"21","phusion","ZnO",14.849
"22","phusion","Fe2O3",15.761
"23","phusion","Fe3O4",14.03
"24","phusion","CuO",14.081
"25","phusion","CK",12.961
"26","phusion","ZnO",14.915
"27","phusion","Fe2O3",15.839
"28","phusion","Fe3O4",13.951
"29","phusion","CuO",13.969
"30","phusion","CK",12.906
"31","phusion","ZnO",14.775
"32","phusion","Fe2O3",16.476
"33","phusion","Fe3O4",14.006
"34","phusion","CuO",13.932
"35","phusion","CK",12.798
"36","phusion","ZnO",15.445
"37","phusion","Fe2O3",18.383
"38","phusion","Fe3O4",15.096
"39","phusion","CuO",14.007
"40","phusion","CK",13.115
