"","id","error_rate"
"1","NP10",0.00116751354085329
"3","NP13",0.00122630012986035
"4","NP14",0.00118188606581548
"5","NP15",0.000897110413321758
"6","NP17",0.00100292393656599
"7","NP19",0.000599936288531463
"8","NP20",0.000516993726843074
"9","NP22",0.000489677879099469
"10","NP24",0.000509079872018746
"11","NP26",0.000506711263564652
"12","NP46",0.00112678426957393
"14","NP49",0.00115849471257996
"15","NP50",0.0012368897356254
"16","NP51",0.00112337937805112
"17","NP53",0.00118752842835669
"18","NP55",0.000544988092494899
"19","NP56",0.000572222993546128
"20","NP58",0.000549971694567944
"21","NP60",0.000551592409856653
"22","NP62",0.000553254588534568
"23","NP82",0.00116434852331202
"25","NP85",0.00113831087526275
"26","NP86",0.00125165712610042
"27","NP87",0.00108273108263672
"28","NP89",0.00117837070245188
"29","NP91",0.000553683194447111
"30","NP92",0.000617496876184001
"31","NP94",0.000576253403612201
"32","NP96",0.000568408984715579
"33","NP98",0.000510932321943638
